x	f_szereg(x)	f_œciœle(x)	liczba_wyrazów	warunek_stopu
510,0000	80257,37708011	154580879881962100543732103466653599321226386258608641374489728256429362172575138460256930217121073507267311648957310875989314257456149028907079297188334549616978663623785182679201217924154246807640156231451052521704914944,00000000	1000	limit M
520,0000	83425,38547659	3404870463251163718526066877113359069843942828826258756132241044692040239882551012327184440815348445426110979847117101135885033574032995025467900517762610957030984001651946739785807711033889073287430697910926883623594989977600,00000000	1000	limit M
530,0000	86654,71442446	74997262794549457208757758629118513879678279293013981821810192906006085866515735931747887179319749947138360872654094383030570915792858272652267248428429485974738957914564828016631444937924997422706100719872853101240674707960758272,00000000	1000	limit M
540,0000	89945,36392372	1651924643648274223914376413235720128338597571961835865418137135554938927033303381808313271802775831077251838422914138883887066972565814541143794818706277954235589152059400940339904853677133750735062941870074111630359286562704876109824,00000000	1000	limit M
550,0000	93297,33397437	36386061658916986491737431598222456989258689878205654086502529631691730645649711707808051236822592330601410845982484664309221510891157249754991317896165044369139556800530360248082995126459661817532289572587961428306969782657931095448748032,00000000	1000	limit M
560,0000	96710,62457640	801456342537863087545455488868604146863581373309514486554978962513048292949146181944259461385602832863416806951477687660403147157299470385732836974494513377842385799689738796783603311160844037290322824222061360068498539494990856511332227743744,00000000	1000	limit M
570,0000	100185,23572983	17653250714941137233594286103812849817653196414157382102147006072559234037527735762341537537380185186425215163832384150640557563844923479921287906478597026294417158414577940046153841037056078755297965194076047070092966094351433154198249287966523392,00000000	1000	limit M
580,0000	103721,16743464	388838723039798143545171846478624199967378991931619977731517522010409437229189875621050013312273652778673013440599310671288476865177945438651360948181904466152588879269827034088198635901507731935162148760144905323006483984970597595169027744451700719616,00000000	1000	limit M
590,0000	107318,41969084	8564742832732435898663386485730798095450812859661251365022022365299007364592006622650538718980008667149516452397448566275465123918271687347955281571884941413647678064907605891797987894577574948457077497327988197706790421144171247610739087616342625605386240,00000000	1000	limit M
600,0000	110976,99249842	188651015046496983111604505058033385061836894811896448708213652324633713800840527088623983616939474930065517632202867846079412196483623048942933626533861847803383277690236185573589554054274505317341839947769161507460364611379992430525631352693120289400906842112,00000000	1000	limit M
610,0000	114696,88585740	4155315130077233295193568666632773480482865711541523497773394514432385793753197463362351447906213942280792817417242669660463314681195723399839169533610799883728778852439440371128865797394662850456425828682834173263408894899689698319319397838318130160678428376825856,00000000	1000	limit M
620,0000	118478,09976776	91526906579289004393138750756152815008642668655093970189072815306006972148630448875270583999246214332078130509848927232326025084240914616579156278201147036294156222959274130782404133636185007596142372673531866613310999278730033809335346768134097910866494422096415817728,00000000	1000	limit M
630,0000	122320,63422951	2016014277073179038017793842445080150946316668259714848347489459361082572088520397736144732428023535456507894756080451540742599667240834408340377314473439221714977615704584946753647340022584836417901699572313017903523915007078739803297836707721518439663349696833947250458624,00000000	1000	limit M
640,0000	126224,48924265	44405669515794368970295107903508064825596737912662760484228462888069163772320810657253940983372842650595217802367896207962131504217229740020000290976935986221866038327888370401615433971029196781538484886165725283285310604167522116155544237087127946833107123712393387929285689344,00000000	1000	limit M
650,0000	130189,66480718	978099960685135959568057993296062811070326363894990529345232505916745182650846615824126147222813438094135295974677398755678953325632403780597596232746553144951764353209012538268370380819215239192212430410993166023935486379694666845123444192775367593732814113604100916723328397344768,00000000	1000	limit M
660,0000	134216,16092309	21544085327932939888301500193390151199453817513903347598255726844281004544709392577569606102699874653997141814870984827415574773608782459833786786674092383213180919041803901417504538061779406652560536607379788104697018945649794764412870255403380194974154879948863312388932210747464744960,00000000	1000	limit M
670,0000	138303,97759039	474540058556112190041050117067010762442594391351375344715721774693597339954926121767446382426841283501295977484327269520395487880616330574200435714892931332368020865738986288093244438774446944085808935268516322559263106502033547853777407045792873664323274964712993082248603313658771139461120,00000000	1000	limit M
680,0000	142453,11480908	10452440368051780172209176773214454051087725758420042528437358253700420322996217182214460316487954700279901228989363803568808974165594088104587541020581350087561196303634262542964775978461992616515073902169086020848761975665185222082098119181874715432108712670604763603155342338495546016061718528,00000000	1000	limit M
690,0000	146663,57257916	230230320239149484248995569691635478769825041993860249125109853589010462468606670626371599255979971426761919835272118533604948361757209500137415227559092838365669232881962595773528278446565788254010591729999708376308098217537502782581448567625424138790426261180138520627532208702623591650382915305472,00000000	1000	limit M
700,0000	150935,35090063	5071160273675022463943788372482968818960774860658229595473973705571903350470141992042484201255250170089073956991745441813839807446034942494004894319699607320561375666629446492277512259296140486926171861886305665325042297847840528206156408728984187491085566825237234306355133226730133638196488659261194240,00000000	1000	limit M
710,0000	155268,44977349	111699738308085545790144188504358789360985043758853896400846714359776347508912599720520344211030764317076491222139339407990811346637602483546646415822136146204198140206552035059720218396234864191408921443486340246019166771061134659713098861786667249112690800996298555596553759292199034848027698730075305279488,00000000	1000	limit M
720,0000	159662,86919773	inf	1000	limit M
730,0000	164118,60917336	inf	1000	limit M
740,0000	168635,66970038	inf	1000	limit M
750,0000	173214,05077878	inf	1000	limit M
760,0000	177853,75240858	inf	1000	limit M
770,0000	182554,77458976	inf	1000	limit M
780,0000	187317,11732233	inf	1000	limit M
790,0000	192140,78060629	inf	1000	limit M
800,0000	197025,76444164	inf	1000	limit M
810,0000	201972,06882837	inf	1000	limit M
820,0000	206979,69376650	inf	1000	limit M
830,0000	212048,63925601	inf	1000	limit M
840,0000	217178,90529691	inf	1000	limit M
850,0000	222370,49188920	inf	1000	limit M
860,0000	227623,39903287	inf	1000	limit M
870,0000	232937,62672793	inf	1000	limit M
